Tweet,Sentiment
"['id', 'respond', 'go']",1
"['sooo', 'sad', 'miss', 'san', 'diego']",0
"['bos', 'bully']",0
"['interview', 'leave', 'alone']",0
"['son', 'couldnt', 'put', 'release', 'already', 'buy']",0
"['shameless', 'plug', 'best', 'ranger', 'forum', 'earth']",1
"['feeding', 'baby', 'fun', 'smile', 'coo']",2
"['soooo', 'high']",1
[],1
"['journey', 'wow', 'become', 'cool', 'hehe', 'possible']",2
"['much', 'love', 'hopeful', 'reckon', 'chance', 'minimal', 'im', 'never', 'gon', 'na', 'get', 'cake', 'stuff']",1
"['really', 'really', 'like', 'song', 'love', 'story', 'taylor', 'swift']",2
"['sharpie', 'run', 'dangerously', 'low', 'ink']",0
"['want', 'go', 'music', 'tonight', 'lose', 'voice']",0
"['test', 'test', 'lg', 'env']",1
"['uh', 'oh', 'sunburn']",0
"['sok', 'try', 'plot', 'alternative', 'speak', 'sigh']",0
"['ive', 'sick', 'past', 'day', 'thus', 'hair', 'look', 'wierd', 'didnt', 'hat', 'would', 'look']",0
"['back', 'home', 'gon', 'na', 'miss', 'every', 'one']",0
[],1
"['oh', 'marly', 'im', 'sorry', 'hope', 'find', 'soon']",1
"['play', 'ghost', 'online', 'really', 'interest', 'new', 'update', 'kirin', 'pet', 'metamorph', 'third', 'job', 'cant', 'wait', 'dragon', 'pet']",2
"['clean', 'house', 'family', 'comming', 'later', 'today']",1
"['get', 'ta', 'restart', 'computer', 'think', 'win', 'suppose', 'put', 'end', 'constant', 'rebootiness']",1
"['see', 'wat', 'mean', 'bout', 'follw', 'friidays', 'call', 'lose', 'fllowers', 'friday', 'smh']",1
"['free', 'fillin', 'app', 'ipod', 'fun', 'im', 'addict']",2
"['im', 'sorry']",0
"['way', 'malaysiano', 'internet', 'access', 'twit']",0
"['juss', 'come', 'backk', 'berkeleyy', 'omg', 'madd', 'fun', 'havent', 'minute', 'whassqoodd']",2
"['go', 'sleep', 'power', 'cut', 'noida', 'power', 'back', 'work']",0
"['im', 'go', 'home', 'see', 'new', 'twitter', 'design', 'quiteheavenly']",2
"['hope', 'unni', 'make', 'audition', 'fight', 'dahye', 'unni']",2
"['consolation', 'get', 'bmi', 'test', 'hahaha', 'say', 'obesed', 'well', 'much', 'unhappy', 'minute']",0
"['thats', 'funny', 'cute', 'kid']",2
"['ahhh', 'sleep', 'game', 'im', 'gon', 'na', 'try', 'best', 'watch', 'tomorrow', 'though', 'hope', 'play', 'army']",1
"['thats', 'end', 'tear', 'fear', 'vs', 'eric', 'prydz', 'dj', 'hero']",1
"['bear', 'raise', 'nyc', 'living', 'texas', 'past', 'year', 'still', 'miss', 'ny']",0
"['case', 'wonder', 'really', 'busy', 'today', 'come', 'add', 'ton', 'new', 'blog', 'update', 'stay', 'tune']",1
"['im', 'soooooo', 'sleeeeepy', 'last', 'day', 'school', 'todaysniffle']",0
"['little', 'happy', 'wine', 'jeje', 'ok', 'itsm', 'free', 'time', 'care', 'jaja', 'love', 'day']",2
"['car', 'happy', 'big', 'big', 'dent', 'boot', 'hop', 'theyre', 'go', 'write', 'cross', 'finger', 'wait']",1
"['im', 'avid', 'fan', 'magazine', 'love', 'magazine']",2
['mayday'],1
"['ratt', 'rock', 'nashville', 'toniteone', 'thing', 'suck', 'encore', 'like', 'still', 'fun', 'show', 'pearcy', 'hott', 'bad', 'boy', 'look']",1
"['love', 'im', 'available', 'pm', 'dear', 'would', 'love', 'help', 'convert', 'vidsã¯â¿â½']",2
"['girl', 'hair', 'salon', 'ask', 'shall', 'trim', 'eyebrow', 'old', 'feel']",1
"['egh', 'blah', 'boooooooooooo', 'dunno', 'wan', 'na', 'go', 'work', 'hangover', 'suckkkkkk', 'im', 'drunk', 'mess']",0
"['visit', 'friendster', 'facebook']",1
"['donbt', 'like', 'peel', 'prawn', 'also', 'dont', 'like', 'go', 'shop', 'run', 'money', 'crawl', 'round', 'car', 'look']",0
"['case', 'get', 'new', 'one', 'last', 'week', 'im', 'thrill', 'mine']",0
"['check', 'connect', 'tweeple', 'hate', 'twitter']",1
"['also', 'bore', 'school', 'third', 'freelesson', 'freistunde']",1
"['hm', 'u', 'guess']",1
"['dissappointed', 'past', 'day']",0
"['romance', 'zero', 'funny']",2
"['id', 'rather', 'early', 'runbut', 'morning', 'runner']",1
"['bah', 'coworker', 'run', 'work', 'late', 'bag', 'smack', 'knee', 'really', 'hurt']",0
"['back', 'later']",1
"['aw', 'torn', 'ace', 'heart', 'hunchback']",0
"['fun', 'speaking']",1
"['lose', 'friend', 'im', 'alone', 'sleepyi', 'wan', 'na', 'go', 'home']",0
"['haha', 'yes']",1
"['give', 'easily']",0
"['good', 'way', 'spoil', 'mum', 'let', 'kick', 'back', 'relax', 'nice', 'meal', 'bottle', 'favorite', 'wine', 'wine', 'red']",2
"['mannnn', 'get', 'iphone', 'im', 'jealous']",0
['photoshoot'],1
"['awesome', 'work', 'good', 'friend']",2
"['yay', 'play', 'show', 'tonight', 'boo', 'gon', 'na', 'soggy', 'im', 'work', 'right', 'play']",1
['chilliin'],2
"['know', 'agent', 'let', 'know']",1
"['still', 'smell', 'smoke', 'kitchenfire']",1
"['celticslakers', 'rematch', 'sound', 'well', 'dont', 'think', 'lol']",2
"['anyone', 'extra', 'kean', 'ticket', 'promise', 'buy', 'drink', 'take', 'rad', 'pic', 'fb', 'blog', 'flickr', 'etc']",1
"['ride', 'one', 'catch', 'one', 'summer', 'til', 'pop', 'open', 'one']",1
"['good', 'gorjuz', 'yea', 'kno', 'ask', 'yesterday', 'tha', 'hospital', 'talk', 'say']",1
"['ok', 'im', 'pop', 'say', 'hi', 'check', 'thing', 'ill', 'probably', 'head', 'guttah', 'later', 'tonight']",1
"['wow', 'really', 'missin', 'family', 'today', 'baddd']",0
"['source', 'say']",1
"['sooo', 'tired']",0
"['hey', 'change', 'twitter', 'account', 'didnt', 'even', 'tell']",1
"['thank', 'yyyyyyyyyoooooooooouuuuu']",2
"['lucky', 'kidi', 'wan', 'na', 'see', 'loserville', 'pity', 'im', 'oz']",2
"['fell', 'asleep', 'wait', 'ride']",1
"['sick', 'flu', 'like', 'thing']",0
"['still', 'reply', 'simfinger', 'problem', 'irape', 'parody', 'video', 'get', 'response', 'sorry', 'guy']",0
"['happy', 'star', 'war', 'day', 'everyone', 'enjoy', 'holiday', 'uk']",2
"['mile', 'im', 'essex', 'give', 'plenty', 'warn', 'arrive', 'time', 'get', 'least', 'one', 'free', 'beer']",1
"['hi', 'snoring', 'annoy', 'keep', 'sleep', 'like', 'right', 'lol', 'honestly', 'wud', 'miss', 'eva', 'leave', 'love']",1
"['miss', 'bby', 'wish', 'go', 'tomorrow', 'make', 'good']",0
"['well', 'im', 'work', 'isnt', 'quite', 'ready', 'post', 'publicly', 'still', 'beta', 'test', 'cool', 'new', 'script', 'cod']",2
"['sweeeeet', 'san', 'fran', 'awesome', 'love']",2
"['mounce', 'yes', 'last', 'way', 'past', 'bedtime']",1
"['hi', 'join', 'twitter']",1
"['wait', 'sleep', 'pill', 'kick', 'gon', 'na', 'tired', 'work', 'tomorrow']",0
"['eat', 'ice', 'cream', 'get', 'ready', 'graduation']",1
"['happy', 'mother', 'day', 'mums']",2
"['caseys', 'go', 'piddle', 'little', 'carpet', 'shes', 'prolly', 'freak', 'cause', 'new', 'get', 'back']",0
"['hemp', 'cloth', 'marvelous', 'unfortunately']",0
"['gon', 'na', 'read', 'story', 'bout', 'adam', 'lambert', 'online', 'bed', 'nighty', 'night']",1
"['saw', 'none', 'baddie', 'best']",2
"['im', 'beach', 'pretty']",2
"['certainly', 'cheer', 'huh']",1
"['week', 'post', 'myhorrible', 'traumatic', 'jumping', 'cholla', 'accidentchollas', 'next', 'dirty', 'trickpieces', 'start', 'emerge', 'hand', 'ouch']",0
"['realy', 'want', 'go', 'cause', 'nice', 'everybodys', 'busy']",0
"['awesome', 'im', 'ocean', 'beach', 'know', 'way', 'yourbiggestfan', 'im', 'real', 'big', 'fan']",2
"['least', 'get', 'watch', 'time', 'let', 'go', 'pen']",1
"['cool', 'wear', 'black', 'time', 'go']",1
"['haha', 'know', 'work', 'blip', 'apart', 'obvious', 'thanks', 'reblipping', 'song', 'nice', 'day']",2
"['safe', 'trip', 'joshy', 'pooyoull', 'knock', 'dead', 'speech']",2
"['woof', 'wish', 'allow', 'go']",2
"['friendster', 'add', 'email', 'adress', 'add', 'lococrimestcom', 'add', 'leave', 'comment']",1
['ticket'],1
"['thank', 'afrin', 'nasal', 'spray', 'also', 'get', 'giant', 'teacup', 'tonight']",2
"['acsm', 'unfathomable', 'think', 'one', 'one', 'keep', 'comfort', 'bedroom', 'yes']",1
"['aww', 'love', 'daddy', 'work', 'day', 'week', 'almost', 'day', 'still', 'try', 'go', 'sf', 'u']",2
"['many', 'test', 'todayyy', 'dont', 'feel', 'confident', 'anyy']",0
"['graduation', 'im', 'little', 'sad', 'anyone', 'want', 'hang']",0
"['hahaa', 'awesome']",2
"['holy', 'smoke', 'star', 'trek', 'freak', 'awesomeeeee']",2
"['hate', 'fallout', 'keep', 'make', 'jump', 'im', 'also', 'low', 'health', 'money', 'ammo', 'food', 'dont', 'worry', 'ill', 'get']",1
"['itunes', 'lose', 'song']",1
"['whats', 'gloomy', 'weather', 'sun', 'must', 'tire', 'come', 'play', 'head', 'victoria', 'garden', 'impulse', 'buy', 'haha']",1
"['look', 'forward', 'next', 'week', 'math', 'geography', 'english', 'french', 'exam', 'total', 'hour']",0
"['poor', 'get', 'outside', 'sleep', 'garden', 'sun', 'good', 'dont', 'forget', 'suncream']",0
['well'],0
"['prob', 'hun']",2
"['dad', 'watch', 'mtv', 'go', 'sims', 'minute']",1
['absolutely'],1
"['whats', 'matter', 'chickadee']",1
"['hey', 'mia', 'totally', 'adore', 'music', 'cd']",2
"['shop', 'clean', 'bmfing', 'webcam', 'chat', 'nephew', 'nothing', 'spesh', 'good', 'bank', 'holiday', 'monday', 'nonetheless']",2
"['need', 'ask', 'something', 'lmao', 'love']",2
"['splinter', 'look', 'painfulbut', 'heroic', 'save', 'mr', 'pickle']",0
['sad'],0
"['nice', 'see', 'tweet', 'sunday', 'th', 'may', 'celebrate', 'mother', 'day', 'today', 'nice', 'yer', 'mom']",2
"['decide', 'trans', 'frm', 'relaxed', 'natural', 'hair', 'wish', 'whole', 'head', 'look', 'like', 'roots', 'age', 'instant', 'gratification']",2
"['namaskar', 'namaste', 'marathi', 'people', 'say', 'namaskar', 'marathi', 'word', 'naaaah']",1
"['congrats', 'cuss', 'like', 'matter', 'minute', 'didnt', 'know', 'reward']",1
"['humous', 'doritos', 'oh', 'yes']",1
"['miss', 'awesome', 'weather', 'movie']",0
"['today', 'go', 'normal', 'day', 'hope', 'group', 'pilot', 'large', 'airline', 'come', 'last', 'night', 'much', 'drink']",1
"['kid', 'terrible', 'good', 'evans', 'id', 'call', 'childline']",0
"['unfortunatley', 'aerlingus', 'longer', 'fly', 'copenhagen', 'fly', 'ryanair', 'billund', 'drive', 'copenhagen', 'one', 'day']",0
"['whats', 'sad', 'actually', 'google', 'term', 'suck', 'tho']",0
"['hate', 'fighting']",0
"['watch', 'didnt', 'want', 'win', 'put', 'good', 'fightlol']",1
"['carwarmed', 'sprite', 'taste', 'like', 'sore', 'throat']",0
"['come', 'th', 'cross', 'country', 'beat', 'dumbo']",1
"['candle', 'wax', 'enjoyable']",2
"['shes', 'unassuming', 'unpretentious', 'shes', 'suppose', 'thats', 'shes', 'endearingbecause', 'relate']",2
"['tomorrow', 'valerias', 'lunch', 'go', 'get', 'hair', 'im', 'arraving', 'late', 'get', 'cousin', 'babtizm', 'whatever', 'spell']",1
"['goooooddd', 'morning', 'tweet', 'week', 'three', 'workout', 'mention', 'get', 'new', 'glass', 'yesterday']",2
"['hate', 'computer', 'much']",0
"['fine', 'go', 'big', 'walk', 'today', 'mile']",2
"['want', 'red', 'cruiser', 'dont', 'like', 'one', 'lmfao']",0
"['mmmmmmmm', 'morning']",1
['neither'],1
"['hour', 'work', 'sunday', 'boo', 'find', 'time', 'two', 'hour', 'lunchbreak', 'though', 'yeah']",1
"['bugger', 'forget', 'still', 'wash', 'machine']",0
"['laurie', 'send', 'love', 'blessing', 'heal', 'thought', 'family', 'peace']",2
"['back', 'hurtsreally', 'bad']",0
"['ah', 'yes', 'know', 'feel']",1
"['night', 'cooker', 'dad']",1
"['modem', 'offline', 'week', 'god', 'bless', 'g', 'network', 'tim', 'leave', 'may', 'schedule', 'brutal']",0
"['nope', 'coquitlam']",1
"['parent', 'teacher', 'thing', 'yesterday', 'bore', 'go', 'skl', 'saturday', 'lol']",0
"['lichfield', 'tweetup', 'sound', 'like', 'fun', 'hope', 'see', 'everyone', 'els']",2
"['big', 'booming', 'thunder', 'storm', 'almost', 'maybe', 'go', 'home', 'early', 'ah', 'probably']",1
"['bevvies', 'day', 'twngreat', 'day']",2
"['first', 'night', 'myers', 'wout', 'lydia', 'im', 'actually', 'excite', 'summer']",2
"['good', 'morning']",2
"['best', 'show', 'ever']",2
"['url', 'previous', 'post', 'timer', 'job', 'id', 'remove', 'space', 'mess', 'url', 'e']",0
"['think', 'iv', 'hurt', 'tooth', 'eilish', 'cassie', 'draw', 'competiton', 'draw', 'cooky', 'pineapple', 'haha']",1
"['want', 'know', 'audition', 'mander', 'text', 'orreply', 'please']",1
"['even', 'nooooo', 'secret', 'namerebecca', 'please']",0
"['miss', 'neice', 'cant', 'wait', 'see', 'bad', 'grown', 'lol']",0
"['need', 'get', 'computer', 'fix']",1
"['really', 'hop', 'car', 'illness', 'terminal']",0
"['cool', 'people', 'want', 'find', 'follow', 'today', 'english', 'guess', 'english', 'dont', 'tweet']",1
"['siri', 'woulda', 'put', 'honeybut', 'dont']",1
"['watch', 'xmen', 'origin', 'wolverine', 'totally', 'love', 'haha']",2
"['vote', 'personal', 'myspace', 'keep', 'talk', 'fake', 'help', 'thru', 'hrdest', 'time', 'life']",2
"['im', 'sad', 'miss', 'guy', 'last', 'night']",0
"['finally', 'get', 'call', 'marriage', 'counseling', 'day', 'late']",1
['ok'],1
['baby'],1
"['today', 'last', 'day', 'high', 'school', 'end', 'go', 'home', 'sick', 'stupid', 'dead', 'rat']",0
"['impromptu', 'pool', 'party', 'except', 'dont', 'know', 'swim', 'cant', 'get']",1
"['lose', 'tooth', 'day', 'whilst', 'eat', 'gumoww']",0
"['happy', 'year']",2
"['oh', 'hella', 'forget', 'say', 'official', 'good', 'morning', 'like', 'hear', 'go', 'goooooooooooood', 'morrrrrrrrning', 'twitterville', 'lol']",2
"['phew', 'make', 'note', 'case', 'anyone', 'els', 'run', 'issueã¯â¿â½']",1
"['vote', 'every', 'day']",0
"['im', 'starve', 'diet', 'kill', 'cant', 'eat', 'pm']",0
['talk'],1
"['im', 'soo', 'boredim', 'deffo', 'miss', 'music', 'channel']",0
"['nite', 'nite', 'bday', 'girl', 'fun', 'concert']",2
"['nicotine', 'replacement', 'patch', 'hour', 'far', 'good', 'sleep', 'hour', 'get', 'bit', 'twitchy']",1
"['sanderson', 'whats', 'twatter', 'lately', 'either', 'cant', 'get', 'reply', 'dont', 'turn']",1
"['sleep', 'lose', 'voice', 'couple', 'day', 'ago']",0
"['hate', 'parked', 'car', 'get', 'hit']",0
"['ive', 'heard', 'fall', 'im', 'wait']",1
"['nightmare', 'huggles']",1
"['creeper', 'feel', 'disappointed', 'cyberstalking', 'skill', 'internet', 'privacy']",0
"['go', 'bed', 'late', 'headache']",0
"['happy', 'mother', 'day', 'mom']",2
"['grab', 'coffee', 'make', 'mom', 'breakfast']",1
"['im', 'think', 'im', 'go', 'fun', 'tonightand', 'maybe', 'change', 'come']",2
"['thanks', 'major', 'chop']",1
"['haha', 'know', 'cant', 'handle', 'fame', 'thank']",2
"['get', 'updated', 'ipod']",1
"['yes', 'sober', 'hahaha', 'tanghaling', 'tapat', 'dude', 'haha', 'wild', 'dont', 'knowwww', 'plan', 'plan', 'go', 'u']",2
"['never', 'miss', 'icarly', 'son', 'huge', 'crush', 'miranda']",2
"['saw', 'james', 'carville', 'store', 'today', 'hi', 'head', 'really', 'bald']",1
['yellow'],1
"['mean', 'youre', 'go', 'come', 'back', 'vancouver', 'way', 'hahah']",1
"['feel', 'smooth', 'like', 'chrome']",2
"['ew', 'traffic']",0
"['download', 'song', 'try', 'sneak', 'lil', 'homework', 'main', 'priority', 'song', 'lol']",1
"['rara', 'alonei', 'need', 'coffee']",1
"['sound', 'like']",1
"['bad', 'day', 'day', 'realize', 'mess', 'youve', 'put', 'one', 'happy', 'day', 'life']",1
"['walk', 'class', 'hate', 'bikeespecially', 'mine']",0
['nesmith'],1
"['failed', 'inspection', 'know', 'pass', 'wooven', 'woantitip', 'bracket', 'sell', 'woven', 'bad', 'tax']",0
"['jonas', 'brother', 'live', 'party', 'rock', 'hard', 'love', 'song']",2
